INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN2_0,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,
2014,39,1.8,,,,,,,10,20,30,20,20,,,,,,,,,,,
2014,40,,,,,,,,,,,,,,,,,,,,,,,
2014,41,2.2,,,,,,,,,,,,,,,,,,,,,,
2014,42,1.8,,,,,,,5,15,45,30,5,,,,,,,,,,,
2014,47,1.9,,,,,,,,,,,,,,,,,,,,,,
2014,48,,,,,,,,,,,,,,,,,,,,,,,
2014,52,2,,,,,,,,5,40,45,10,,,,,,,,,,,
2014,54,2,,,,,,,5,15,30,25,15,10,,,,,,,,,,
2014,57,,,,,,,,,,,,,,,,,,,,,,,
2014,63,1.9,,,,,,,10,20,50,20,,,,,,,,,,,,
2014,70,1.8,,,,,,,,35,55,10,,,,,,,,,,,,
2014,72,1.9,,,,,,,,,,,,,,,,,,,,,,
2014,73,,,,,,,,,,,,,,,,,,,,,,,
2014,80,,,,,,,,,,,,,,,,,,,,,,,
2014,82,1.9,,,,,,,,,,,,,,,,,,,,,,
2014,84,2,,,,,1,3,10,17,25,25,14,3,2,,,,,,,,,
2014,85,,,,,,,,,,,,,,,,,,,,,,,
2014,88,1.9,,,,,2.5,7.5,12.5,17.5,20,17.5,12.5,7.5,2.5,,,,,,,,,
2014,89,2,,,,,,5,10,15,20,20,15,10,5,,,,,,,,,
2014,90,1.8,,,,,,,,10,60,30,,,,,,,,,,,,
2014,93,2,,,,,,,,,45,45,10,,,,,,,,,,,
2014,94,1.6,,,,,2,8,10,20,27.5,17.5,7.5,5,2.5,,,,,,,,,
2014,95,1.8,,,,,,3,10,16,24,22,16,9,,,,,,,,,,
2014,96,,,,,,,,,,,,,,,,,,,,,,,
2014,97,1.9,,,,,,,,,,,,,,,,,,,,,,
2014,98,2.1,,,,,,,,10,30,35,15,10,,,,,,,,,,
2014,99,1.8,,,,,,,5,10,60,15,10,,,,,,,,,,,
2014,101,,,,,,,,,,,,,,,,,,,,,,,
2014,103,2.1,,,,,,,5,10,30,35,15,5,,,,,,,,,,
2014,104,2,,,,,,,,15,30,40,15,,,,,,,,,,,
2014,105,1.9,,,,,,,,15,50,30,5,,,,,,,,,,,
2014,106,2,,,,,,,,10,25,30,25,10,,,,,,,,,,
2014,107,1.9,,,,.03,.3,1.94,7.65,16.09,26.83,27.58,12.89,5.34,1.17,.18,,,,,,,,
2014,108,2.3,,,,,,,,2,10.5,71.5,15.2,.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GROWTH EXPECTATIONS; YEAR-ON-YEAR CHANGE IN REAL GDP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN6_0,FN6_0TN5_6,FN5_5TN5_1,FN5_0TN4_6,FN4_5TN4_1,FN4_0TN3_6,FN3_5TN3_1,FN3_0TN2_6,FN2_5TN2_1,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0
2009,1,-4.3,,2,3,25,30,25,10,3,2,,,,,,,,,,,,,
2009,7,-5,,,,,,,,,,,,,,,,,,,,,,
2009,8,-4.6,,,10,40,36,10,4,,,,,,,,,,,,,,,
2009,14,-4.2,,,,,,,,,,,,,,,,,,,,,,
2009,15,-4.5,,,10,35,25,15,10,5,,,,,,,,,,,,,,
2009,16,-4.4,,2,11,20,25,18,11,7,5,1,,,,,,,,,,,,
2009,19,-4.8,,5,15,25,20,15,10,5,5,,,,,,,,,,,,,
2009,20,-4.9,,5,30,45,20,,,,,,,,,,,,,,,,,
2009,22,-4.3,,,5,20,60,15,,,,,,,,,,,,,,,,
2009,23,-4.5,,2,6,25,35,20,7,4,1,,,,,,,,,,,,,
