INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,
2000,1,10,,,20,60,20,,,,,
2000,3,10.2,,,20,60,20,,,,,
2000,5,9.8,,20,40,30,10,,,,,
2000,7,10,,,,,,,,,,
2000,9,10.3,,,10,70,20,,,,,
2000,10,9.4,10,50,40,,,,,,,
2000,11,10,,,15,75,10,,,,,
2000,14,9.8,,,70,30,,,,,,
2000,16,9.9,,10,35,30,20,5,,,,
2000,19,10.3,,,,50,50,,,,,
2000,20,9.9,,20,30,50,,,,,,
2000,23,9.8,,30,50,20,,,,,,
2000,26,10,,,40,55,5,,,,,
2000,28,9.8,,5,40,40,15,,,,,
2000,29,9.9,,1,60,35,4,,,,,
2000,31,9.6,,25,50,25,,,,,,
2000,32,9.9,,5,45,40,10,,,,,
2000,33,9,,90,10,,,,,,,
2000,34,9.9,,,30,60,10,,,,,
2000,35,,,,,,,,,,,
2000,36,10,,,25,50,25,,,,,
2000,37,9.8,,,50,50,,,,,,
2000,38,9.9,,20,80,,,,,,,
2000,39,10,,5,45,45,5,,,,,
2000,41,10,,,40,60,,,,,,
2000,42,10,,,50,50,,,,,,
2000,45,10,,,50,50,,,,,,
2000,46,10.42,,8.008008008,8.008008008,37.4874874875,37.4874874875,4.5045045045,4.5045045045,,,
2000,47,,,,,,,,,,,
2000,48,9.7,,,60,40,,,,,,
2000,52,9.6,,,60,40,,,,,,
2000,53,10,,,,70,30,,,,,
2000,54,9.5,,10,50,30,10,,,,,
